N,epsilon,J,E_0,M
3.0,1.0,-3.0,-6.0,-3.0
3.0,1.0,-2.0,-5.0,-3.0
3.0,1.0,-1.0,-4.0,-3.0
3.0,1.0,-0.5,-3.5,-3.0
3.0,1.0,0.0,-3.0,-3.0
3.0,1.0,0.35,-2.65,-3.0
3.0,1.0,0.5,-2.5,-1.8226237613437968
3.0,1.0,0.65,-2.95,-0.9999999999999996
3.0,1.0,1.0,-4.0,-0.9999999999999996
3.0,1.0,2.0,-7.0,-1.0
3.0,1.0,3.0,-10.0,-1.0
5.0,1.0,-3.0,-14.0,-5.000000000000002
5.0,1.0,-2.0,-11.0,-5.000000000000002
5.0,1.0,-1.0,-8.0,-5.000000000000002
5.0,1.0,0.0,-5.0,-4.9999999999999964
5.0,1.0,0.35,-3.95,-5.000000000000004
5.0,1.0,0.5,-3.5,-3.032526277204986
5.0,1.0,0.65,-4.25,-0.9999999999999996
5.0,1.0,0.75,-4.75,-0.9999999999999992
5.0,1.0,1.0,-6.0,-1.0
5.0,1.0,2.0,-11.0,-1.0000000000000009
5.0,1.0,3.0,-16.0,-1.0
10.0,1.0,-3.0,-34.0,-10.000000000000014
10.0,1.0,-2.0,-26.0,-10.0
10.0,1.0,-1.0,-18.0,-10.0
10.0,1.0,0.0,-10.0,-9.999999999999991
10.0,1.0,0.25,-8.0,-10.000000000000009
10.0,1.0,0.35,-7.2,-9.99999999999998
10.0,1.0,0.5,-6.0,-5.070645204137854
10.0,1.0,0.65,-7.2,-2.0
10.0,1.0,0.75,-8.0,-2.0000000000000013
10.0,1.0,1.0,-10.0,-2.000000000000002
10.0,1.0,2.0,-18.0,-2.0000000000000027
10.0,1.0,3.0,-26.0,-2.0000000000000053
3.0, 1.0, 3.0, -10.0, -1.0
