N,epsilon,J,E_0,M
3.0,1.0,-3.0,-12.0,-3.0
3.0,1.0,-2.0,-9.0,-2.9999999999999987
3.0,1.0,-1.0,-6.0,-3.0
3.0,1.0,0.0,-3.0,-3.0
3.0,1.0,0.25,-2.25,-3.0
3.0,1.0,0.35,-1.95,-3.0000000000000018
3.0,1.0,0.5,-1.5,-1.0693293430012432
3.0,1.0,0.65,-1.65,-1.0000000000000004
3.0,1.0,0.75,-1.75,-1.0000000000000002
3.0,1.0,1.0,-2.0,-1.0
3.0,1.0,2.0,-3.0,-1.0
3.0,1.0,3.0,-4.0,-0.9999999999999996
5.0,1.0,-3.0,-20.0,-5.000000000000002
5.0,1.0,-2.0,-15.0,-5.0
5.0,1.0,-1.0,-10.0,-4.999999999999998
5.0,1.0,0.0,-5.0,-4.9999999999999964
5.0,1.0,0.25,-3.75,-4.999999999999998
5.0,1.0,0.35,-3.25,-5.0
5.0,1.0,0.5,-2.5,-2.3229480716109627
5.0,1.0,0.65,-2.95,-1.0000000000000004
5.0,1.0,0.75,-3.25,-1.0000000000000009
5.0,1.0,1.0,-4.0,-0.9999999999999992
5.0,1.0,2.0,-7.0,-0.999999999999999
5.0,1.0,3.0,-10.0,-0.9999999999999998
10.0,1.0,-3.0,-40.0,-9.999999999999991
10.0,1.0,-2.0,-30.0,-10.000000000000009
10.0,1.0,-1.0,-20.0,-9.999999999999996
10.0,1.0,-0.75,-17.5,-10.000000000000009
10.0,1.0,-0.5,-15.0,-10.000000000000004
10.0,1.0,-0.25,-12.5,-10.000000000000004
10.0,1.0,0.0,-10.0,-9.999999999999991
10.0,1.0,0.25,-7.5,-9.999999999999972
10.0,1.0,0.4,-6.0,-9.99999999999998
10.0,1.0,0.5,-5.0,-4.508255152912664
10.0,1.0,0.6,-6.0,0.0
10.0,1.0,0.75,-7.5,0.0
10.0,1.0,1.0,-10.0,0.0
10.0,1.0,2.0,-20.0,0.0
10.0,1.0,3.0,-30.0,0.0
