N_i,N_j,epsilon,J,E_0,M
3.0,3.0,1.0,-3.0,-63.0,-9.0
3.0,3.0,1.0,-2.0,-45.0,-9.000000000000004
3.0,3.0,1.0,-1.0,-27.0,-9.0
3.0,3.0,1.0,0.0,-9.0,-9.000000000000004
3.0,3.0,1.0,0.25,-4.5,-5.482026622410939
3.0,3.0,1.0,0.5,-6.0,-2.999999999999996
3.0,3.0,1.0,0.75,-7.5,-3.0000000000000018
3.0,3.0,1.0,1.0,-9.0,-3.0000000000000013
3.0,3.0,1.0,2.0,-15.0,-3.0000000000000058
3.0,3.0,1.0,3.0,-21.0,-2.9999999999999964
4.0,4.0,1.0,3.0,-96.0,0.0
4.0,4.0,1.0,2.0,-64.0,0.0
4.0,4.0,1.0,1.0,-32.0,0.0
4.0,4.0,1.0,0.75,-24.0,0.0
4.0,4.0,1.0,0.5,-16.0,0.0
4.0,4.0,1.0,0.25,-8.0,-8.474349686561409
4.0,4.0,1.0,0.0,-16.0,-16.00000000000005
4.0,4.0,1.0,-1.0,-48.0,-16.000000000000036
4.0,4.0,1.0,-2.0,-80.0,-16.000000000000014
4.0,4.0,1.0,-3.0,-112.0,-15.999999999999979
5.0,4.0,1.0,-3.0,-140.0,-19.99999999999998
5.0,4.0,1.0,-2.0,-100.0,-19.999999999999993
5.0,4.0,1.0,-1.0,-60.0,-19.999999999999936
5.0,4.0,1.0,0.0,-20.0,-19.999999999999876
5.0,4.0,1.0,1.0,-32.0,0.0
5.0,4.0,1.0,0.25,-10.0,-10.85559684405441
5.0,4.0,1.0,0.5,-16.0,-2.4971061651027373
5.0,4.0,1.0,0.75,-24.0,0.0
5.0,4.0,1.0,2.0,-64.0,0.0
5.0,4.0,1.0,3.0,-96.0,0.0
5.0,4.0,1.0,0.1,-16.0,-19.99999999999998
5.0,4.0,1.0,0.65,-20.8,0.0
